"name","rank","change_in_rank","companyRevenue","companyProfit","companySize"
"Albertsons","52","0","[{""revenues"":""69690.4"",""revenuePercentChange"":""11.6""}]","[{""profits"":""850.2"",""profitPercentChange"":""82.3""}]","[{""assets"":""26598.0"",""marketValue"":""16063.7"",""employeeCount"":""300000""}]"
"Walt Disney","53","-3","[{""revenues"":""67418.0"",""revenuePercentChange"":""3.1""}]","[{""profits"":""1995.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""203609.0"",""marketValue"":""249718.1"",""employeeCount"":""171000""}]"
"Energy Transfer","54","27","[{""revenues"":""67417.0"",""revenuePercentChange"":""73.1""}]","[{""profits"":""5470.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""105963.0"",""marketValue"":""34496.9"",""employeeCount"":""12558""}]"
"Lockheed Martin","55","-6","[{""revenues"":""67044.0"",""revenuePercentChange"":""2.5""}]","[{""profits"":""6315.0"",""profitPercentChange"":""-7.6""}]","[{""assets"":""50873.0"",""marketValue"":""117648.2"",""employeeCount"":""114000""}]"
"Freddie Mac","56","-9","[{""revenues"":""65898.0"",""revenuePercentChange"":""-0.5""}]","[{""profits"":""12109.0"",""profitPercentChange"":""65.3""}]","[{""assets"":""3025586.0"",""marketValue"":""510.3"",""employeeCount"":""7301""}]"
"Goldman Sachs Group","57","2","[{""revenues"":""64989.0"",""revenuePercentChange"":""21.5""}]","[{""profits"":""21635.0"",""profitPercentChange"":""128.7""}]","[{""assets"":""1463988.0"",""marketValue"":""117667.6"",""employeeCount"":""43900""}]"
"Raytheon Technologies","58","-1","[{""revenues"":""64388.0"",""revenuePercentChange"":""13.8""}]","[{""profits"":""3864.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""161404.0"",""marketValue"":""147640.9"",""employeeCount"":""174000""}]"
"HP","59","-3","[{""revenues"":""63487.0"",""revenuePercentChange"":""12.1""}]","[{""profits"":""6503.0"",""profitPercentChange"":""128.7""}]","[{""assets"":""38610.0"",""marketValue"":""38237.2"",""employeeCount"":""51000""}]"
"Boeing","60","-6","[{""revenues"":""62286.0"",""revenuePercentChange"":""7.1""}]","[{""profits"":""-4202.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""138552.0"",""marketValue"":""113058.7"",""employeeCount"":""142000""}]"
"Morgan Stanley","61","0","[{""revenues"":""61121.0"",""revenuePercentChange"":""17.4""}]","[{""profits"":""15034.0"",""profitPercentChange"":""36.7""}]","[{""assets"":""1188140.0"",""marketValue"":""155685.6"",""employeeCount"":""74814""}]"
"HCA Healthcare","62","0","[{""revenues"":""58752.0"",""revenuePercentChange"":""14.0""}]","[{""profits"":""6956.0"",""profitPercentChange"":""85.3""}]","[{""assets"":""50742.0"",""marketValue"":""75691.9"",""employeeCount"":""244000""}]"
"AbbVie","63","5","[{""revenues"":""56197.0"",""revenuePercentChange"":""22.7""}]","[{""profits"":""11542.0"",""profitPercentChange"":""150.0""}]","[{""assets"":""146529.0"",""marketValue"":""286332.4"",""employeeCount"":""50000""}]"
"Dow","64","18","[{""revenues"":""54968.0"",""revenuePercentChange"":""42.6""}]","[{""profits"":""6311.0"",""profitPercentChange"":""415.2""}]","[{""assets"":""62990.0"",""marketValue"":""46839.7"",""employeeCount"":""35700""}]"
"Tesla","65","35","[{""revenues"":""53823.0"",""revenuePercentChange"":""70.7""}]","[{""profits"":""5519.0"",""profitPercentChange"":""665.5""}]","[{""assets"":""62131.0"",""marketValue"":""1113707.8"",""employeeCount"":""99290""}]"
"Allstate","66","4","[{""revenues"":""53228.0"",""revenuePercentChange"":""18.8""}]","[{""profits"":""1599.0"",""profitPercentChange"":""-71.3""}]","[{""assets"":""99440.0"",""marketValue"":""38553.7"",""employeeCount"":""54500""}]"
"AIG","67","5","[{""revenues"":""52057.0"",""revenuePercentChange"":""19.0""}]","[{""profits"":""9388.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""596112.0"",""marketValue"":""50608.2"",""employeeCount"":""36600""}]"
